data;A_mod;B_original;A_original
31/01/2007;382;343;382
28/02/2007;85,1;102,5;85,1
31/03/2007;71,6;35,4;71,6
30/04/2007;61,5;72,3;61,5
31/05/2007;34,4;35,1;34,4
30/06/2007;9,3;12,2;9,3
31/07/2007;9,9;13;9,9
31/08/2007;0,1;0;0,1
30/09/2007;4,4;2,2;4,4
31/10/2007;104,7;85,3;104,7
30/11/2007;;251,2;261,6
31/12/2007;313,7;249;313,7
31/01/2008;364,6;340,6;364,6
29/02/2008;245,4;243,5;245,4
31/03/2008;281,3;327,7;281,3
30/04/2008;;189,6;187,1
31/05/2008;0,4;0;0,4
30/06/2008;16;7,6;16
31/07/2008;0;0;0
31/08/2008;39,3;60,3;39,3
30/09/2008;84,1;84,6;84,1
31/10/2008;81,5;87;81,5
30/11/2008;;280;287,6
31/12/2008;614,2;574,3;614,2
31/01/2009;318,6;340,4;318,6
28/02/2009;261,2;268,9;261,2
31/03/2009;;228,7;228,3
30/04/2009;50,9;79,1;50,9
31/05/2009;23,5;20;23,5
30/06/2009;49,9;52,8;49,9
31/07/2009;2,2;3,8;2,2
31/08/2009;23;28,4;23
30/09/2009;94,2;99,5;94,2
31/10/2009;343,3;368,5;343,3
30/11/2009;;154,2;69,6
31/12/2009;557,2;610,2;557,2
31/01/2010;251,8;223,8;251,8
28/02/2010;95,2;153;95,2
31/03/2010;230,3;218,9;230,3
30/04/2010;;74,4;71,2
31/05/2010;41,3;58,9;41,3
30/06/2010;;2,4;0
31/07/2010;0,3;0;0,3
31/08/2010;0;0;0
30/09/2010;30,5;33,4;30,5
31/10/2010;180,8;203,2;180,8
30/11/2010;273,5;317,2;273,5
31/12/2010;;266,3;213,6
31/01/2011;366,9;252,1;366,9
28/02/2011;125,3;144,8;125,3
31/03/2011;297,7;336,8;297,7
30/04/2011;55,4;44,2;55,4
31/05/2011;;0;12,5
30/06/2011;;25,3;27,4
31/07/2011;0;0;0
31/08/2011;0,1;2;0,1
30/09/2011;3,8;24,3;3,8
31/10/2011;196,9;183,1;196,9
30/11/2011;;410,3;329,3
31/12/2011;527,3;549,2;527,3
31/01/2012;529,5;441,2;529,5
29/02/2012;105,8;138,2;105,8
31/03/2012;254,6;199,9;254,6
30/04/2012;69,6;47,7;69,6
31/05/2012;43,3;46,7;43,3
30/06/2012;;35,2;52,2
31/07/2012;;0,7;1
31/08/2012;2;2,5;2
30/09/2012;37,2;58,7;37,2
31/10/2012;71,3;69,3;71,3
30/11/2012;292,8;219,6;292,8
31/12/2012;118,4;86,6;118,4
31/01/2013;318;349,7;318
28/02/2013;175,5;86;175,5
31/03/2013;;235,4;256,2
30/04/2013;;79,9;75,8
31/05/2013;47,4;55,6;47,4
30/06/2013;;40,5;30,1
31/07/2013;0;0;0
31/08/2013;0;1,6;0
30/09/2013;63,9;66;63,9
31/10/2013;129,1;144,2;129,1
30/11/2013;;104,7;106,1
31/12/2013;442,1;450,9;442,1
31/01/2014;134,7;108,1;134,7
28/02/2014;21;2,4;21
31/03/2014;124,3;159,6;124,3
30/04/2014;120,1;57,2;120,1
31/05/2014;10,8;22,1;10,8
30/06/2014;3,8;4,2;3,8
31/07/2014;51,9;20,1;51,9
31/08/2014;0;0,1;0
30/09/2014;8,2;16,5;8,2
31/10/2014;88,6;86,7;88,6
30/11/2014;;172;178,8
31/12/2014;133,9;159,1;133,9
31/01/2015;100,8;189,4;100,8
28/02/2015;230,9;271,3;230,9
31/03/2015;216,2;227,9;216,2
30/04/2015;31,2;64,9;31,2
31/05/2015;65,2;60;65,2
30/06/2015;8,4;5,4;8,4
31/07/2015;23,6;0;23,6
31/08/2015;0;0;0
30/09/2015;93,2;153,1;93,2
31/10/2015;68,5;68;68,5
30/11/2015;209,2;202;209,2
31/12/2015;192,4;200,4;192,4
31/01/2016;460;441,1;460
29/02/2016;;124,6;110,4
31/03/2016;;178,2;224,6
30/04/2016;39,2;43,5;39,2
31/05/2016;26,9;4,8;26,9
30/06/2016;68,3;85,9;68,3
31/07/2016;0,3;0;0,3
31/08/2016;0,7;0,2;0,7
30/09/2016;40,8;80,5;40,8
31/10/2016;91,7;84,1;91,7
30/11/2016;331,1;259,9;331,1
31/12/2016;337,5;402,8;337,5
31/01/2017;105,9;99,3;105,9
28/02/2017;;208,6;220,5
31/03/2017;;139,3;78,3
30/04/2017;;16;22,5
31/05/2017;28,6;36,9;28,6
30/06/2017;26,5;29,7;26,5
31/07/2017;0,3;0;0,3
31/08/2017;0;0,5;0
30/09/2017;7,8;4,5;7,8
31/10/2017;106,6;114,3;106,6
30/11/2017;205,7;168,7;205,7
31/12/2017;265,3;292,8;265,3
